Entry Name	Length	organism
CP2D7_HUMAN	515	human
PIOS1_HUMAN	54	human
MOTSC_HUMAN	16	human
CD3CH_HUMAN	201	human
NBDY_HUMAN	68	human
CIROP_HUMAN	788	human
S12A8_HUMAN	714	human
RBM47_HUMAN	593	human
IFT56_HUMAN	554	human
TM129_HUMAN	362	human
E2F8_HUMAN	867	human
UBA6_HUMAN	1052	human
ESYT2_HUMAN	921	human
ESYT3_HUMAN	886	human
MED19_HUMAN	244	human
BLT3B_HUMAN	1464	human
POTB3_HUMAN	581	human
IGLC7_HUMAN	106	human
SHOT1_HUMAN	631	human
SC5AA_HUMAN	596	human
FEZF1_HUMAN	475	human
T120B_HUMAN	339	human
CLRN2_HUMAN	232	human
RHG10_HUMAN	786	human
IRGM_HUMAN	181	human
F170A_HUMAN	330	human
ANO9_HUMAN	782	human
S22AN_HUMAN	686	human
ODAM_HUMAN	279	human
F168B_HUMAN	195	human
PXDNL_HUMAN	1463	human
HACL2_HUMAN	632	human
U2QL1_HUMAN	161	human
SYCE3_HUMAN	88	human
PKHG3_HUMAN	1219	human
ELOV7_HUMAN	281	human
SRCRL_HUMAN	1573	human
FSD2_HUMAN	749	human
SPD2B_HUMAN	911	human
CBAR1_HUMAN	289	human
MACD2_HUMAN	425	human
ZC12D_HUMAN	527	human
FRMD3_HUMAN	597	human
CCD78_HUMAN	438	human
HFM1_HUMAN	1435	human
NBAS_HUMAN	2371	human
SYTC2_HUMAN	802	human
TM218_HUMAN	115	human
TESP1_HUMAN	521	human
HYKK_HUMAN	373	human
MEIOC_HUMAN	952	human
CCD66_HUMAN	948	human
TYW5_HUMAN	315	human
MBPHL_HUMAN	354	human
T131L_HUMAN	1609	human
SSPO_HUMAN	5150	human
VWA8_HUMAN	1905	human
LAMB4_HUMAN	1761	human
ISPD_HUMAN	451	human
F221A_HUMAN	298	human
GSAP_HUMAN	854	human
GTPBA_HUMAN	387	human
WDR91_HUMAN	747	human
PRS37_HUMAN	235	human
CC14C_HUMAN	447	human
MBLC1_HUMAN	266	human
PM2P1_HUMAN	440	human
EME2_HUMAN	379	human
XIRP2_HUMAN	3374	human
POTEF_HUMAN	1075	human
CL18A_HUMAN	446	human
VP37C_HUMAN	355	human
ODAD3_HUMAN	595	human
CFA69_HUMAN	941	human
PSB11_HUMAN	300	human
PSD1_HUMAN	1024	human
PDES1_HUMAN	270	human
5HT3E_HUMAN	456	human
CNOT1_HUMAN	2376	human
CRNS1_HUMAN	827	human
MEG11_HUMAN	1044	human
BDP1_HUMAN	2624	human
F221B_HUMAN	402	human
CC88B_HUMAN	1476	human
NKX26_HUMAN	301	human
JUNO_HUMAN	250	human
FA83G_HUMAN	823	human
PALM3_HUMAN	673	human
RBY1B_HUMAN	496	human
PGP_HUMAN	321	human
TMM8B_HUMAN	472	human
RCCD1_HUMAN	376	human
GG6L9_HUMAN	432	human
TIKI2_HUMAN	517	human
TCAF2_HUMAN	919	human
MFS2B_HUMAN	504	human
SDHF1_HUMAN	115	human
PCARE_HUMAN	1288	human
OOEP_HUMAN	149	human
GGT3_HUMAN	568	human
TBAL3_HUMAN	446	human
SMHD1_HUMAN	2005	human
CAST2_HUMAN	329	human
MSGN1_HUMAN	193	human
MYMK_HUMAN	221	human
LIRA5_HUMAN	299	human
U119B_HUMAN	251	human
WTIP_HUMAN	430	human
NKX63_HUMAN	265	human
MET15_HUMAN	407	human
IRG1_HUMAN	481	human
